Phage ,Treatment,Competitor,Temp,Time,Rep,Batch,DNA_conc,Fold_change_DNAconc_to_zero,Rel_DNA_to_singlephage,,,P,L,14
LUZ19,PL,PEV2,42,2,2,2,6.373002486,116.2295161,,,,,,
LUZ19,PL,PEV2,42,2,3,3,5.371514516,97.96458328,,,,,,
LUZ19,PL,PEV2,42,2,4,3,5.035438534,91.83529825,,,,,,
LUZ19,PL,PEV2,37,5,5,1,6.629398708,120.9056179,0.505144643,,,,,
LUZ19,PL,PEV2,37,5,6,1,6.654712393,121.3672838,0.507073487,,,,,
LUZ19,PL,PEV2,37,5,1,2,8.863064863,161.6427645,0.675344769,,,,,
LUZ19,PL,PEV2,37,5,2,2,8.752564313,159.6274781,0.666924886,,,,,
LUZ19,PL,PEV2,37,5,3,3,6.972300782,127.1593958,0.531272978,,,,,
LUZ19,PL,PEV2,37,5,4,3,6.538190949,119.2421895,0.498194826,,,,,
LUZ19,PL,PEV2,40,5,5,1,7.383661346,134.6617057,0.563167744,,,,,
LUZ19,PL,PEV2,40,5,6,1,11.22045783,204.6364154,0.85580847,,,,,
LUZ19,PL,PEV2,40,5,1,2,7.778382069,141.8605415,0.593273943,,,,,
LUZ19,PL,PEV2,40,5,2,2,8.756286709,159.6953664,0.667860835,,,,,
LUZ19,PL,PEV2,40,5,3,3,6.781448094,123.6786636,0.517235643,,,,,
LUZ19,PL,PEV2,40,5,4,3,6.767038251,123.4158598,0.516136573,,,,,
LUZ19,PL,PEV2,42,5,5,1,7.796932619,142.1988627,0.785215459,,,,,
LUZ19,PL,PEV2,42,5,6,1,7.382575407,134.6419006,0.743486268,,,,,
LUZ19,PL,PEV2,42,5,1,2,15.71169925,286.5467579,1.582297775,,,,,
LUZ19,PL,PEV2,42,5,2,2,14.48170546,264.1143827,1.458427249,,,,,
LUZ19,PL,PEV2,42,5,3,3,9.834123965,179.3527418,0.990377439,,,,,
LUZ19,PL,PEV2,42,5,4,3,9.576786235,174.6594689,0.964461406,,,,,
PEV2,3P,3P,37,0,0,1,0.043265271,0.844540841,,,,,,
PEV2,3P,3P,37,0,0,1,0.041566802,0.811386618,,,,,,
PEV2,3P,3P,37,0,0,2,0.068855951,1.344072541,,,,,,
PEV2,3P,3P,40,0,0,2,0.043265271,0.844540841,,,,,,
PEV2,3P,3P,40,0,0,3,0.041566802,0.811386618,,,,,,
PEV2,3P,3P,40,0,0,3,0.068855951,1.344072541,,,,,,
PEV2,3P,3P,42,0,0,1,0.043265271,0.844540841,,,,,,
PEV2,3P,3P,42,0,0,1,0.041566802,0.811386618,,,,,,
PEV2,3P,3P,42,0,0,2,0.068855951,1.344072541,,,,,,
PEV2,3P,3P,37,2,1,1,12.76774628,249.2272192,,,,,,
PEV2,3P,3P,37,2,2,1,9.486207022,185.1713642,,,,,,
PEV2,3P,3P,37,2,3,2,8.860641083,172.9602773,,,,,,
PEV2,3P,3P,37,2,4,2,8.171083269,159.5000649,,,,,,
PEV2,3P,3P,37,2,5,3,1.648118892,32.17138556,,,,,,
PEV2,3P,3P,37,2,6,3,1.509504565,29.46562508,,,,,,
PEV2,3P,3P,40,2,1,1,7.065884723,137.926519,,,,,,
PEV2,3P,3P,40,2,2,1,6.934350061,135.3589541,,,,,,
PEV2,3P,3P,40,2,3,2,7.602914702,148.4093784,,,,,,
PEV2,3P,3P,40,2,4,2,6.702639556,130.8359503,,,,,,
PEV2,3P,3P,40,2,5,3,1.271331065,24.81646322,,,,,,
PEV2,3P,3P,40,2,6,3,1.017512416,19.86190705,,,,,,
PEV2,3P,3P,42,2,1,1,0.076651779,1.4962476,,,,,,
PEV2,3P,3P,42,2,2,1,0.069175253,1.350305337,,,,,,
PEV2,3P,3P,42,2,3,2,0.634697072,12.3893272,,,,,,
PEV2,3P,3P,42,2,4,2,0.06698839,1.307617632,,,,,,
PEV2,3P,3P,42,2,5,3,0.048820784,0.952984808,,,,,,
PEV2,3P,3P,42,2,6,3,0.066977767,1.30741027,,,,,,
PEV2,3P,3P,37,5,1,1,21.18725196,413.5765053,1.164646484,,,,,
PEV2,3P,3P,37,5,2,1,16.02619007,312.8322491,0.880946994,,,,,
PEV2,3P,3P,37,5,3,2,14.56542897,284.3180996,0.800650111,,,,,
PEV2,3P,3P,37,5,4,2,13.69796221,267.3850933,0.75296615,,,,,
PEV2,3P,3P,37,5,5,3,13.40342448,261.635698,0.736775644,,,,,
PEV2,3P,3P,37,5,6,3,15.19070574,296.5235419,0.835021081,,,,,
PEV2,3P,3P,40,5,1,1,15.45329847,301.6493687,0.844011114,,,,,
PEV2,3P,3P,40,5,2,1,14.75907466,288.0980757,0.806094768,,,,,
PEV2,3P,3P,40,5,3,2,16.71183917,326.2161631,0.912748694,,,,,
PEV2,3P,3P,40,5,4,2,6.281742102,122.6200052,0.343089222,,1.070466408,,,
PEV2,3P,3P,40,5,5,3,13.85307476,270.4129001,0.756611871,,179.376208,,,
PEV2,3P,3P,40,5,6,3,12.68132992,247.5403663,0.692614811,,,,,
PEV2,3P,3P,42,5,1,1,0.071522002,1.396114026,1.185002032,,,,,
PEV2,3P,3P,42,5,2,1,0.067272861,1.313170524,1.114600749,,,,,
PEV2,3P,3P,42,5,3,2,0.502576457,9.810324395,8.326865945,,,,,
